Chargin' Chuck
Mario (Golf)
Luigi (Painter)
Peach (Explorer)
Mario (Baseball)
Cat Peach
Peach (Vacation)
Fire Rosalina
Cat Rosalina
Cat Toad
Birdo (Black)
Birdo (White)
Mario (Tuxedo)
Mario (Aviator)
Luigi (Chef)
Penguin Toadette
Baby Peach (Cherub)
Rosalina (Chef)
Dr. Bowser
Dr. Peach
Daisy (Farmer)
Toad (Astronaut)
Donkey Kong Jr. (SNES)
Peach (Yukata)
Waluigi (Vampire)
Pauline (Rose)
Light-blue Shy Guy (Explorer)
Petey Piranha
Kitsune Luigi
Cat Luigi
Yoshi (Egg Hunt)
Pauline (Cowgirl)
Pinch Hitter
Green Lightning
Combo Cruiser
Sneeker
Pink Sneeker
Black Sneeker
B Dasher Mk. 2
Metal B Dasher Mk. 2
Fast Frank
White Fast Frank
Wild Slugger
Goo-Goo Buggy
Daikon Rocket
Mach 8-R
Inferno Flyer
Wildfire Flyer
Wild Pink
Black Turbo Birdo
White Turbo Birdo
Happy Ride
Coconut 1
Pineapple 1
Green Circuit
Iron Cucumber
Rose Taxi
Lime Tea Coupe
Cact-R
Blooper Shuttle
Tiger Bruiser
Gray Cat Cruiser
Jukebox Buggy
Cupid's Arrow
Prop Kart
Star Broom
Yellow 8-Bit Pipe Frame
Armored Rider
White Bruiser
Blue-Green Capsule Kart
Green Cat Cruiser
Ice-Cream Minibus
Strawberry Soft Swerve
Moo Moo Offroader
Rainbow Taxi
Black Shielded Speedster
Pink Speeder
Red Vampire Flyer
Rainbow Streetle
Hot Pot Hot Rod
Sakura Sports Coupe
Jumbo Jetter
Silver Flower Kart
Cream Classic
Red Comet
Pink Comet
Silver Cupid's Arrow
Paintster
Black B Dasher Mk. 2
Frost Wing
Flower Kart
Chocolate Mint Soft Swerve
Chain Chomp Chariot
Yeehaw Wagon
Desert Rose Wagon
Monarch Kart
Gold Home-Field Glider
Wonderful Wings
Wicked Topaz
Rose Parasol
Golden Glider
Yellow Hard Hat Balloon
Fuzzy Kite
Home-Field Glider
Piranha Plant Hanafuda
Daisy Glider
Stealth Glider
Sweetheart Glider
Springtime Crane
Pink Gold Meteors
Glittering Parasol
Black Toe-Bean Balloons
8-Bit Super Glider
Luigi's Hat Balloon
Mario's Hat Balloon
Silver Bells
Wario's Mustache
Nabbit Oilpaper Umbrella
8-Bit 1-Up Mushroom
Silver Manta Glider
Calico Parafoil
Glinting Glider
Aurora Balloons
Green Sprout
Vanilla & Chocolate Balloons
Candlelight Flight Cake
Wonderful Garnet
Wonderful Diamond
Magniflying Glass
Red Checkered Glider
Flying Flappers
Yoshi's Cookies
Green Cat Parafoil
Red Emblem
Green Emblem
Smiley Flower Glider
New Year's 2023
8-Bit Super Mushroom
Le Tricolore
Royal Flush
Rainbow Flappy Wings
Flying Easel
Tulip Corsage
Rainbow Bells
