BABY MARIO,D,7,1,
BABY PEACH,D,6,0,
BABY DAISY,D,6,0,
BABY ROSALINA,D,7,0,
BABY LUIGI,D,8,3,
KOOPA TROOPA,D,8,4,
SHY GUY,D,6,0,
DRY BONES,D,6,1,
IGGY,D,6,0,
LARRY,D,7,0,1
LEMMY,D,7,1,
LUDWIG,D,6,0,
MORTON,D,6,1,
ROY,D,6,0,
WENDY,D,7,1,
MARIO,D,5,0,
PEACH,D,6,1,
YOSHI,D,7,3,3
DAISY,D,6,1,
TOAD,D,6,0,
TOADETTE,D,5,0,
ROSALINA,D,6,1,
LUIGI,D,5,0,
TOAD (PIT CREW),D,8,3,
RED YOSHI,D,5,0,
BLUE YOSHI,D,2,0,
PINK YOSHI,D,1,0,
YELLOW TOAD (PIT CREW),D,7,3,
LIGHT-BLUE TOAD (PIT CREW),D,1,0,
RED TOAD (PIT CREW),D,2,0,
ORANGE YOSHI,D,0,0,
GREEN TOAD (PIT CREW),D,1,0,
PINK TOAD (PIT CREW),D,1,0,
BOWSER,D,7,0,
DONKEY KONG,D,8,3,
DIDDY KONG,D,5,0,
LAKITU,D,4,0,
BOWSER JR.,D,5,1,
WARIO,D,4,0,
WALUIGI,D,5,0,
KING BOO,D,6,3,
BLACK SHY GUY,D,4,0,
RED KOOPA (FREERUNNING),D,7,3,
BIRDO,D,4,0,
PINK SHY GUY,D,6,0,
BIRDO (LIGHT BLUE),D,3,0,
HAMMER BRO,D,6,0,
BOOMERANG BRO,D,5,0,
ICE BRO,D,6,1,3
FIRE BRO,D,5,0,
BIRDO (YELLOW),D,4,0,
MONTY MOLE,D,4,0,
GREEN SHY GUY,D,2,0,
BLUE KOOPA (FREERUNNING),D,1,0,
BIRDO (BLUE),D,6,2,
PURPLE KOOPA (FREERUNNING),D,1,0,
LIGHT-BLUE SHY GUY,D,2,0,
BLUE SHY GUY,D,2,0,
BIRDO (ORANGE),D,0,0,
METAL MARIO,D,6,0,
PEACHETTE,D,4,0,
PAULINE,D,3,0,
MARIO (MUSICIAN),D,1,0,
PEACH (KIMONO),D,1,0,
MARIO (HAKAMA),D,3,0,
ROSALINA (HALLOWEEN),D,0,0,
PEACH (VACATION),D,5,2,
MARIO (SANTA),D,1,0,
PINK GOLD PEACH,D,7,2,
DAISY (HOLIDAY CHEER),D,0,0,
YOSHI (REINDEER),D,3,0,
PAULINE (PARTY TIME),D,0,0,
MARIO (HAPPI),D,1,0,
TOAD (PARTY TIME),D,4,0,
PEACH (WINTERTIME),D,3,0,
PENGUIN LUIGI,D,3,0,
ICE MARIO,D,4,0,
BABY PEACH (CHERUB),D,0,0,
ROSALINA (AURORA),D,1,0,
MARIO (CLASSIC),D,4,0,
LUIGI (CLASSIC),D,1,0,
BABY ROSALINA (DETECTIVE),D,0,0,
YOSHI (EGG HUNT),D,1,0,
BLACK YOSHI,D,3,0,
BUILDER MARIO,D,0,0,
BUILDER TOAD,D,0,0,
DAISY (FAIRY),D,0,0,
MARIO (CHEF),D,2,0,
PEACH (WEDDING),D,1,0,
ROSALINA (SWIMWEAR),D,0,0,
MARIO (SWIMWEAR),D,1,0,
CAPTAIN TOAD,D,3,0,
TOADETTE (EXPLORER),D,0,0,
DAISY (YUKATA),D,0,0,
MARIO (SNES),D,1,0,
MARIO (SUNSHINE),D,2,0,
MARIO (HALLOWEEN),D,0,0,
PEACH (HALLOWEEN),D,4,0,
PEACH (EXPLORER),D,3,1,
BUILDER LUIGI,D,0,0,
FIRE ROSALINA,D,0,0,
LUIGI (LEDERHOSEN),D,2,0,
CAT PEACH,D,1,0,
CAT TOAD,D,2,0,
PAULINE (ROSE),D,0,0,
PENGUIN TOAD,D,0,0,
MARIO (RACING),D,0,0,
WHITE YOSHI,D,5,0,
BABY MARIO (KOALA),D,1,0,
BUILDER TOADETTE,D,0,0,
MARIO (TUXEDO),D,1,0,
LUIGI (PAINTER),D,0,0,
DAISY (SWIMWEAR),D,1,0,
MARIO (BASEBALL),D,0,0,
PEACH (HAPPI),D,0,0,
PENGUIN MARIO,D,0,0,
YOSHI (KANGAROO),D,1,0,
TANOOKI MARIO,D,3,0,
TANOOKI ROSALINA,D,3,0,
MARIO (SATELLAVIEW),D,0,0,
PENGUIN TOADETTE,D,0,0,
CAT ROSALINA,D,1,0,
LUIGI (VACATION),D,1,0,
MARIO (GOLF),D,1,0,
LUIGI (GOLF),D,1,0,
MARIO (AVIATOR),D,1,0,
MARIO (SAMURAI),D,1,0,
PEACH (YUKATA),D,0,0,
YOSHI (GOLD EGG),D,6,2,
ROSALINA (VOLENDAM),D,0,0,
DAISY (FARMER),D,1,0,
DR. MARIO,D,0,0,
DR. LUIGI,D,0,0,
DR. PEACH,D,0,0,
CAT MARIO,D,0,0,
CAT LUIGI,D,0,0,
ROSALINA (CHEF),D,0,0,
DAISY (THAI DRESS),D,1,0,
DAISY (SAILOR),D,0,0,
TOADETTE (SAILOR),D,0,0,
WHITE TANOOKI MARIO,D,6,2,
LUIGI (KNIGHT),D,0,0,
MARIO (KING),D,1,0,
LUIGI (CHEF),D,0,0,
KITSUNE LUIGI,D,0,0,
TOAD (ASTRONAUT),D,0,0,
TOADETTE (ASTRONAUT),D,1,0,
DRY BOWSER,D,7,1,
KING BOO (LUIGI'S MANSION),D,2,0,
SHY GUY (PASTRY CHEF),D,0,0,
WALUIGI (BUS DRIVER),D,1,0,
GOLD KOOPA (FREERUNNING),D,4,1,
WARIO (HIKER),D,0,0,
DRY BONES (GOLD),D,8,3,
FUNKY KONG,D,3,0,
DIXIE KONG,D,4,0,
DRY BOWSER (GOLD),D,2,0,
WARIO (COWBOY),D,0,0,
NABBIT,D,1,0,
BOWSER JR. (PIRATE),D,3,0,
KING BOB-OMB,D,3,0,
DONKEY KONG JR. (SNES),D,0,0,
SHY GUY (GOLD),D,1,0,
KING BOO (GOLD),D,4,1,
BOWSER (SANTA),D,6,2,
LAKITU (PARTY TIME),D,0,0,
BIRDO (BLACK),D,6,2,
SHY GUY (NINJA),D,0,0,
KING BOB-OMB (GOLD),D,5,2,1
KAMEK,D,4,1,
WALUIGI (VAMPIRE),D,4,1,
MEOWSER,D,1,0,
CHARGIN' CHUCK,D,7,3,
PINK SHY GUY (NINJA),D,0,0,
BIRDO (WHITE),D,0,0,
DR. BOWSER,D,1,0,
PETEY PIRANHA,D,8,3,
CHARGIN' CHUCK (GOLD),D,1,0,
PETEY PIRANHA (GOLD),D,1,0,
LARRY (WINTERTIME),D,1,0,
LIGHT-BLUE SHY GUY (EXPLORER),D,0,0,
YELLOW SHY GUY (EXPLORER),D,0,0,
RED MII RACING SUIT,D,1,0,
MARIO MII RACING SUIT,D,0,0,
PEACH MII RACING SUIT,D,0,0,
TOAD MII RACING SUIT,D,1,0,
LUIGI MII RACING SUIT,D,1,0,
ROSALINA MII RACING SUIT,D,1,0,
DONKEY KONG MII RACING SUIT,D,0,0,
BRONZE MII RACING SUIT,D,1,0,
SILVER MII RACING SUIT,D,1,0,
GOLD MII RACING SUIT,D,0,0,
KING BOO MII RACING SUIT,D,2,0,
KING BOB-OMB MII RACING SUIT,D,0,0,
YOSHI MII RACING SUIT,D,0,0,
BIRDO MII RACING SUIT,D,4,1,
NABBIT MII RACING SUIT,D,0,0,
WARIO MII RACING SUIT,D,1,0,
? BLOCK MII RACING SUIT,D,4,1,1
CAT MII RACING SUIT,D,0,0,
PASTRY CHEF MII RACING SUIT,D,0,0,
CHAIN CHOMP MII RACING SUIT,D,0,0,
PETEY PIRANHA MII RACING SUIT,D,2,0,
DOLPHIN MII RACING SUIT,D,1,0,
CHEEP CHEEP MII RACING SUIT,D,0,0,
ICE-CREAM MII RACING SUIT,D,0,0,
BOWSER MII RACING SUIT,D,0,0,
DRY BOWSER MII RACING SUIT,D,2,0,
GOOMBA MII RACING SUIT,D,0,0,
HAMMER BRO MII RACING SUIT,D,0,0,
CASTLE MII RACING SUIT,D,0,0,
WHITE MII RACING SUIT,D,0,0,
GREEN MII RACING SUIT,D,0,0,
DRY BONES MII RACING SUIT,D,1,0,
YELLOW MII RACING SUIT,D,1,0,
MOO MOO MII RACING SUIT,D,2,0,
ROCKY WRENCH MII RACING SUIT,D,0,0,
SANTA MII RACING SUIT,D,0,0,
REINDEER MII RACING SUIT,D,1,0,
BLACK MII RACING SUIT,D,0,0,
PURPLE MII RACING SUIT,D,0,0,
ROARING RACER MII RACING SUIT,D,0,0,
BROWN MII RACING SUIT,D,0,0,
PIPE FRAME,K,7,0,
BIRTHDAY GIRL,K,7,2,
MUSHMELLOW,K,7,3,
KOOPA DASHER,K,7,0,
BIDDYBUGGY,K,7,0,
BLUE BIDDYBUGGY,K,2,0,
CHEEP CHARGER,K,7,3,
PINK MUSHMELLOW,K,2,0,
BIRTHDAY GIRL ROSALINA,K,3,0,
GREEN KIDDIE KART,K,7,3,
RED KIDDIE KART,K,6,0,
BULLET BLASTER,K,7,0,
BULL'S-EYE BANZAI,K,3,1,
LANDSHIP,K,7,3,
PIPE BUGGY,K,8,3,
WARSHIP,K,3,0,
GREEN CHEEP CHARGER,K,3,0,
MACH 8,K,3,0,
DAYTRIPPER,K,5,0,
TURBO YOSHI,K,4,0,
SODA JET,K,5,0,
SUPER BLOOPER,K,6,0,
GOLD BLOOPER,K,4,1,
ROYALE,K,5,0,
CLOUD 9,K,6,0,
POLTERGUST 4000,K,4,0,
STREAMLINER,K,4,1,
WHITE ROYALE,K,3,0,
ZUCCHINI,K,4,0,
RED STREAMLINER,K,8,3,
RED TURBO YOSHI,K,4,0,
BLUE SEVEN,K,6,2,
SUPER 1,K,2,0,
DASHER II,K,1,0,
TEA COUPE,K,2,0,
YELLOW TURBO BIRDO,K,5,0,
EGG 1,K,5,0,
